gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7410205;Bålstad;84497;Bålgård Rv 61;Bålgård Rv 61;;;;;
7457234;Bångtorpet;60089;Bångtorpet;Bångtorpet;;;;;
7422265;Bäckalund;66009;Bäckalund;Bäckalund;;;;;
7424500;Bäckebron E45;66010;Bäckebron;Bäckebron;;;;;
7400542;Bäckebron station;66143;Bäckebron station;Bäckebron station;;;;;
7457003;Bäckeliden;30008;Bäckeliden;Bäckeliden;;;;;
7422253;Bäckelidsbron;37018;Bäckelidsbron;Bäckelidsbron;;;;;
7422205;Bäcken;65007;Bäcken (Harnäs);Bäcken (Harnäs);;;;;
7418008;Bäckhammar bruket;81435;Bäckhammar bruket;Bäckhammar bruket;;;;;
7422376;Bäckhammar kiosken;81023;Bäckhammar kiosken;Bäckhammar kiosken;;;;;
7458248;Bäckhammar Persbol;81436;Bäckhammar Persbol;Bäckhammar Persbol;;;;;
7457965;Bäckhammar Vårdhemmet;81005;Bäckhammar Vårdhemmet;Bäckhammar Vårdhemmet;;;;;
7410214;Bäckhammar väg 26;81024;Bäckhammar rv 26;Bäckhammar rv 26;;;;;
7471323;Bäckhammar Öståsgatan;81132;Bäckhammar Öståsgatan;Bäckhammar Öståsgatan;;;;;
7422365;Bäckheden;83020;Bäckheden;Bäckheden;;;;;
7457509;Bäcksätra;66109;Bäcksätra;Bäcksätra;;;;;
7457260;Bärstad;61020;Bärstad;Bärstad;;;;;
7457024;Bönnäset;30046;Bönnäset;Bönnäset;;;;;
7456984;Börjestorp;80529;Börjestorp;Börjestorp;;;;;
7410223;Bössviken;66011;Bössviken;Bössviken;;;;;
7457004;Charlottenberg Gunnarsb;30010;Charlottenberg Gunnarsbyskolan;Charlottenberg Gunnarsbyskolan;;;;;
7400048;Charlottenberg station;30011;Charlottenbergs resecentrum;Charlottenbergs resecentrum;;;;;
7425735;Charlottenberg Tallmoskolan;30012;Charlottenberg Tallmon;Charlottenberg Tallmon;;;;;
7404308;Charlottenbergs vårdcent;30014;Charlottenbergs vårdcentral;Charlottenbergs vårdcentral;;81075;COOP Forum;COOP Forum;
7457041;Charlottenbergsvägen;30069;Charlottenbergsvägen;Charlottenbergsvägen;;;;;
7458260;Daglösen;82012;Daglösen;Daglösen;;;;;
7434461;Dalbotorp;82019;Dalbotorp;Dalbotorp;;;;;
7457071;Dalby kyrka;37019;Dalby kyrka;Dalby kyrka;;;;;
7410227;Dalbäcken;60008;Dalbäcken;Dalbäcken;;;;;
7457190;Dalbäckens Lanthandel;60009;Dalbäckens Lanthandel;Dalbäckens Lanthandel;;;;;
7457533;Dalen;66133;Dalen (Gräsmark);Dalen (Gräsmark);;;;;
7458561;Dalen;84104;Dalen (Åmotfors);Dalen (Åmotfors);;;;;
7458814;Dalen;85017;Dalen (Östra Kila);Dalen (Östra Kila);;;;;
7458713;Dalen (Gunnarskog);84300;Dalen (Gunnarskog);Dalen (Gunnarskog);;;;;
7458562;Dalslund;84105;Dalslund;Dalslund;;;;;
7457191;Dalåsen;60010;Dalåsen;Dalåsen;;;;;
7458354;Dalängen;83021;Dalängen;Dalängen;;;;;
7422262;Dammbråten;37020;Dammbråten;Dammbråten;;;;;
7422212;Dammen;30015;Dammen;Dammen;;;;;
7404310;Degerbyn garageplats;64003;Degerbyn garageplats;Degerbyn garageplats;;;;;
7463355;Degerfors kyrka;87059;Degerfors Kyrka;Degerfors Kyrka;;;;;
7400129;Degerfors station;87045;Degerfors resecentrum;Degerfors resecentrum;;;;;
7422248;Deje Dejefors;63009;Dejefors;Dejefors;;;;;
7457324;Deje Djupdalsvägen;63003;Deje Djupdalsvägen;Deje Djupdalsvägen;;;;;
7457325;Deje Industrivägen;63004;Deje Industrivägen;Deje Industrivägen;;;;;
7457326;Deje Parkvägen;63005;Deje Parkvägen;Deje Parkvägen;;;;;
7400127;Deje station;63002;Deje Järnvägsstation;Deje Järnvägsstation;;;;;
7404313;Deje Tjärnheden vändplan;63006;Deje Tjärnheden-vändplan;Deje Tjärnheden-vändplan;;;;;
7424610;Deje torget;63007;Deje Torget;Deje Torget;;;;;
7457328;Deje Vårdcentralen;63008;Deje Vårdcentralen;Deje Vårdcentralen;;;;;
7464307;Dennicketorp;63055;Deje Ullerudsgården;Deje Ullerudsgården;;82027;Dennicketorp;Dennicketorp;
7457811;Dingelsundet;80464;Dingelsundet;Dingelsundet;;;;;
7458815;Djupviken;85018;Djupviken;Djupviken;;;;;
7457985;Drevsta;81030;Drevsta;Drevsta;;;;;
7458332;Dunderbacken;82122;Dunderbacken;Dunderbacken;;;;;
7458816;Dungen;85019;Dungen (Värmlandsbro);Dungen (Värmlandsbro);;;;;
7458355;Duvenäs;83022;Duvenäs;Duvenäs;;;;;
7457958;Duvnäs;80969;Duvnäs;Duvnäs;;;;;
7422278;Dyvelsten;63010;Dyvelsten;Dyvelsten;;;;;
7463386;Dömle;63828;Dömle;Dömle;;;;;
7465389;Dömle Herrgård;63059;Dömle Herrgård;Dömle Herrgård;;;;;
7457329;Dömlevägen;63011;Dömlevägen;Dömlevägen;;;;;
7422313;Ed;81032;Ed (Visnums-Kil);Ed (Visnums-Kil);;;;;
7410262;Eda bruk;30016;Eda Bruk;Eda Bruk;;;;;
7420189;Eda kyrka;30018;Eda kyrka;Eda kyrka;;;;;
7457040;Eda Skrot Kalles väg;30068;Eda Skrot Kalles väg;Eda Skrot Kalles väg;;;;;
7458737;Edane Affären;84324;Edane Affären;Edane Affären;;;;;
7458566;Edane Lerhol;84110;Edane Lerhol;Edane Lerhol;;;;;
7458567;Edane Lyckhagsstigen;84111;Edane Lyckhagsstigen;Edane Lyckhagsstigen;;;;;
7458568;Edane Servicehuset;84112;Edane Servicehuset;Edane Servicehuset;;;;;
7458565;Edane skola;84109;Edane skola;Edane skola;;;;;
7400410;Edane station;84108;Edane station;Edane station;;;;;
7458569;Edane Sågvägen;84113;Edane Sågvägen;Edane Sågvägen;;;;;
7410264;Edebäck Högheden;83024;Edebäck Högheden;Edebäck Högheden;;;;;
7401415;Edsbjörke station;66012;Edsbjörke station;Edsbjörke station;;;;;
7422307;Edsgatan;80466;Edsgatan;Edsgatan;;;;;
7457988;Edsmon;81033;Edsmon;Edsmon;;;;;
